Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,0.5391992062899718,89.86,12.2
2,0.2032352286349436,98.27,10.75
3,0.1694333282340863,98.76,17.2
4,0.1518829295494753,99.06,12.6
5,0.1309789058983705,99.42,10.85
6,0.1350730823198701,99.33,5.95
7,0.1082582794556951,99.56,16.15
8,0.1101967658681474,99.61,12.4
9,0.0973383829139979,99.81,10.05
10,0.1009478231381838,99.75,11.05
