Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,0.5476236555986344,89.82,8.4
2,0.2078082309501945,98.07,14.25
3,0.1704559241225765,98.78,15.7
4,0.1605287261639431,99.0,16.25
5,0.1415401606043433,99.31,13.15
6,0.1284476258572499,99.42,5.2
7,0.1055480179608247,99.63,12.4
8,0.1044981687976296,99.69,17.45
9,0.1036757805449947,99.74,15.7
10,0.0985756774854128,99.7,12.35
