Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,0.3520737134133744,86.68,0.35
2,0.0804839823424673,97.59,1.4
3,0.0569293853325567,98.23,1.75
4,0.0408903639200054,98.67,0.7
5,0.0208699171576696,99.39,0.3
6,0.0208507101285081,99.33,0.55
7,0.0195902399665002,99.39,8.45
8,0.0127965739878505,99.67,0.45
9,0.0103489339593938,99.69,1.5
10,0.0106474160579897,99.72,6.85
