Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,0.3632954403900417,85.74,0.1
2,0.0807997070691862,97.76,0.4
3,0.0582418963520722,98.09,0.25
4,0.0433236713533046,98.52,8.3
5,0.0244330154041534,99.24,0.4
6,0.024425739711625,99.2,0.05
7,0.0213942072268243,99.34,0.4
8,0.0155838602292944,99.48,0.0
9,0.0114293015134894,99.59,7.6
10,0.0057728867304947,99.83,3.2
