Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,2.098835630781332,72.26,1.55
2,1.5364910918436232,96.59,6.65
3,1.4621973561633164,97.88,0.4
4,1.4671996156121516,98.21,0.1
5,1.4248522907305674,98.69,19.6
6,1.422478835294201,98.85,0.75
7,1.4115922056185972,99.21,8.45
8,1.4033079154931816,99.38,9.35
9,1.4086173886706117,99.31,17.9
10,1.425446615856924,98.73,15.6
