Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,0.5364848566093262,89.87,16.7
2,0.2096869333819219,98.2,8.85
3,0.1700117213141386,98.87,15.3
4,0.1513662912473557,99.14,19.3
5,0.1283790613910195,99.38,13.85
6,0.1273791664724896,99.51,3.05
7,0.1093582744905903,99.58,11.0
8,0.118251355163231,99.45,8.8
9,0.0966843676035571,99.86,15.2
10,0.1012232915563568,99.7,15.0
