Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,0.5251272353966525,90.31,11.85
2,0.2097578049655173,98.24,16.45
3,0.1692598179742029,98.8,13.3
4,0.1495205153040825,99.22,9.35
5,0.1328947835002735,99.33,14.55
6,0.1278638911854689,99.55,2.25
7,0.1074912071133115,99.74,9.8
8,0.1023108996213621,99.78,5.0
9,0.1010222517570872,99.76,18.05
10,0.1176845997002474,99.5,14.15
