Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,0.5374483406353908,89.85,22.85
2,0.227800407986732,97.8,2.7
3,0.1701784331802349,98.9,13.1
4,0.1504819162996711,99.07,12.4
5,0.13756181712553,99.22,10.5
6,0.1290761482943395,99.44,5.55
7,0.1090338378670109,99.69,12.9
8,0.1023021719543037,99.81,8.95
9,0.1036270903126829,99.75,7.25
10,0.0992864694944612,99.8,10.85
