Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,2.106553155905122,73.46,0.0
2,1.541991714459316,95.98,1.0
3,1.4650081950388136,97.61,0.55
4,1.448394044948991,98.08,2.55
5,1.4248300821158535,98.62,0.0
6,1.4238057136535645,98.69,2.3
7,1.420723982677338,98.85,0.9
8,1.4144155515986645,98.94,0.0
9,1.416176415552759,99.21,19.65
10,1.4365018507477585,98.37,6.85
