Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,0.5325312340145658,89.96,10.45
2,0.2112168443810408,98.25,6.75
3,0.1705104861954215,98.91,15.65
4,0.1637492414302886,98.93,11.25
5,0.1320729415602744,99.34,14.65
6,0.1242374999413065,99.51,8.9
7,0.109732090335363,99.66,13.55
8,0.1128009444304332,99.45,9.45
9,0.1002559003651521,99.78,15.15
10,0.0991573893957457,99.76,16.2
