Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,2.1199136714267124,71.51,0.0
2,1.5190080783929034,96.79,0.15
3,1.4400110631991343,98.33,3.3
4,1.4416111358411752,98.15,3.05
5,1.4150095069484343,99.18,4.95
6,1.420149986151677,98.95,8.3
7,1.4155180067013784,99.08,0.4
8,1.4008618896933878,99.54,3.85
9,1.4013205622411835,99.52,6.75
10,1.4073848451019093,99.37,5.1
