Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,0.4576143528198361,82.12,4.75
1,2,0.0942777870044966,97.14,0.0
1,3,0.067459212592358,97.91,0.0
1,4,0.0481755245227817,98.43,0.1
1,5,0.0359644132249567,98.78,0.1
1,6,0.019563072359569,99.37,0.4
1,7,0.0254673751384007,99.25,10.55
1,8,0.0167735127834484,99.43,5.75
1,9,0.0187853076671336,99.43,0.85
1,10,0.019954277517902,99.37,2.1
