Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,0.5342664088413214,89.89,6.3
2,0.2087279934507266,98.27,8.8
3,0.1689628914568074,98.8,11.1
4,0.155620449382788,98.99,15.15
5,0.1379551883241173,99.25,14.0
6,0.1282553715026302,99.51,4.45
7,0.1082288688819879,99.64,16.65
8,0.1092804537457265,99.6,5.75
9,0.0952847545883458,99.83,12.0
10,0.1008377581312778,99.75,12.2
