Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,2.207589035580872,70.76,10.05
2,1.5661748427494315,94.65,29.35
3,1.5300293052272431,97.28,12.35
4,1.5042383610063297,97.67,10.35
5,1.4261706816922328,98.72,12.3
6,1.4163997423876622,99.01,16.9
7,1.419454218475682,98.95,10.0
8,1.4082902001727158,99.27,9.85
9,1.4060219609813325,99.36,16.75
10,1.4148007373141636,99.01,37.05
